source,source_lat,source_lng,target,target_lat,target_lng,weight
Soqatra (Hudaibo)_Socotra,12.65,54.033333,Al Bayda City_Al Bayda,13.982525825500488,45.57584381103515,45.94861593437872
Taiz City_Taizz,13.58,44.02,Ibb City_Ibb,13.976155281066896,44.1850471496582,37.70034727000013
Taiz City_Taizz,13.58,44.02,Dhamar City_Dhamar,14.543986320495604,44.39492416381836,37.70034727000013
Taiz City_Taizz,13.58,44.02,Al Jabeen_Raymah,14.704837799072266,43.59856414794922,37.70034727000013
Taiz City_Taizz,13.58,44.02,Aden City_Aden,12.7854969,45.0186548,37.70034727000013
Taiz City_Taizz,13.58,44.02,Zungubar City_Abyan,13.129193305969238,45.37763595581055,37.70034727000013
Zungubar City_Abyan,13.129193305969238,45.37763595581055,Aden City_Aden,12.7854969,45.0186548,39.0588923390613
Zungubar City_Abyan,13.129193305969238,45.37763595581055,Al Bayda City_Al Bayda,13.982525825500488,45.57584381103515,39.0588923390613
Zungubar City_Abyan,13.129193305969238,45.37763595581055,Taiz City_Taizz,13.58,44.02,39.0588923390613
Zungubar City_Abyan,13.129193305969238,45.37763595581055,Ibb City_Ibb,13.976155281066896,44.1850471496582,39.0588923390613
Zungubar City_Abyan,13.129193305969238,45.37763595581055,Dhamar City_Dhamar,14.543986320495604,44.39492416381836,39.0588923390613
